reviews,notes
j'ai passé un super bon moment avec mes enfants devant le film (5 et 8 ans). L'histoire est basique faut pas s'attendre au scénario de l'année un cube magique un monde magique et faut sauver le monde du vilain  méchant.,"3,5"
"Quand j'ai appris qu'un film Minecraft était en préparation, je me suis vraiment demandé ""c'est vraiment une bonne idée ?... Maintenant, c'est évident : c'était une énorme erreur. Quelques scènes sont marrantes mais ça se compte sur le bout des doigts, ils essaient de faire de l'humour mais ça marche pas, seul les enfants rigolent à ça.Un Jack Black qui parle comme un gogol, probablement pour faire réagir l'audience (on les a vus les cinémas qui prennent du popcorn dans l'écran mdr) et pour créer un buzz qu'il soit bon ou mauvais.Triste de voir que des compagnies et des acteurs qui ne connaissent rien au jeu ont fait un film pareil ; à l'image de Borderlands, ce film ne respecte ni le jeu, ni la communauté (le seul truc qu'ils ont fait à ce propos c'est l'apparition de Technoblade en 3 secondes (never dies)).Reprendre des éléments de Minecraft Legends, qui a été un bide du jeu vidéo, en le mélangeant à peu près à tous les jeux Minecraft, ça donne un film qui ressemble à une quête écrite par un joueur de 5 ans qui ne connaît pas le fond du jeu. Les effets spéciaux sont corrects, je les trouve même jolis.De toute façon, c'est destiné aux enfants de moins de 10-12 ans. Bref, vous aurez compris que ce film a essayé d'être bien et a échoué, probablement à cause de l'argent. et je préfère largement Borderlands qui pourtant n'a lui même pas respecté l'histoire du jeu.","2,5"
"Il n'y a pas grand chose à dire, le film fait le taff il est drôle quand i lfaut, le monde de minecraft est bien retranscrit avec de bonnes références et même si le scénario est moyen, c'est pas le but premier du film","3,0"
"spoiler: 
À part retrouver graphiquement et visuellement l'univers Minecraft, le film ne rend pas bien honneur au jeu vidéo. Un montage douteux, un scénario raté et un humour qui sort par le nez...","1,0"
"bête mais drôle, si vous pouvez poser votre cerveau il est bien mais le scénario est plein de facilité et la 3D perturbante","3,0"
"Un film TRES MAUVAIS... il a beau avoir des bonnes idées c'est pour systématiquement se rater à coté. Quand il tente de faire de l'humour ce n'est pas drôle au mieux gênant (les blagues incessantes sur les cochons tout le long du film pfff...), quand il tente de faire de la comédie musical ce n'est pas exploiter (sans parler qu'en VF c'est inaudible), quand il tente de faire des référence au jeu ça se remarque très vite que ce film a été fait par des personnes qui ne connaissent même pas ce jeu (""steve"" qui fait des réplique très bizarres juste pour dire ""hé regarde c'est le truc que tu connais ça non ?""), quand il tente de créer de l'attachement envers ses personnages il le rate et on y croite absolument pas (sans parler des 2femmes qui ne servent à rien dans le film...), quand il tente de faire de la tension on y croit pas. Au moins on ne peut pas nier qu'il ont l'aire d'assumer cette DA même si pas très belle et ne respectant absolument pas l'œuvre originale (ce serait bête que ce soit une adaptation de cette dite œuvre), les objet venant du jeu ressemble plus a des jouets en plastiques que de vrais outils ou armures (la seule fois ou j'ai ris durant les 1h 41min est quand on voit l'armure en diamant de ""steve"").bref un tres mauvais film en lui même et une très mauvaise adaptation d'un jeu fait juste pour l'argent...remboursez moi mes 10€ !","0,5"
"Pour moi, le film de Minecraft est magnifique l’image originale. Cependant,Les acteurs ont moyen des paroles dans l’histoire. J’espère que Minecraft 2 aura le plus extraordinaire !","2,5"
"Un film très bon , de l'humour et de l'action !!! Très bonne surprise pour ma part. Un film à voir en famille.","5,0"
C’est un film bien. Je le trouve fidèle au jeu original. J’ai bien reconnu des mobs du jeu ce qui est franchement sympa. Et il y a même des lieux présent dans le jeu. J’ai trouvé ce film bien et je le trouve réussi pour ma part.,"4,5"
"Catastrophique de bout en bout j'adore Emma Myers, mais la c'est honteux. J'espère pour qu'elle choisira de bonne production quitte à avoir un moins gros cachet à l'avenir que jouer des daubes. Jack Black et Momoa j'en parle pas.","0,5"
Bonne interprétation du jeu avec des belles touches humoristiques de la part Jack Black.,"3,0"
"Passez votre chemin si vous êtes pas un enfant de 3 à 5 ans. Le scénario est décousu, les images mauvaises, l'antagoniste ridicule, les héros ridicules...bref un navet.Les jeunes enfants n'ayant de gout que pour les effets visuels et les actions ridicules marrantes à leurs ages pourront apprécier...mais pour les autres aucun intérêt.Dommage il y avait de quoi faire un film sympa avec cette franchise. Comment un scénario et des dialogues de ce niveau ont pu voir le jour ? ...il faut vraiment être à la masse pour valider ça.","0,5"
C'est tout simplement un pur Divertissement. Jason Momoa est vraiment ringard et il le joue bien.On pose son cerveau à l'entrée et on le reprends à la sortie. Si vous voulez passez un bon moment sans connaître vraiment le jeu vidéo et sans vous prendre la tête .Allez y.,"4,0"
"Film très agréable !Les blagues tout au long du film sont vraiment drôles.Le film dure 1h41,C’est un film original : il y a des personnages en forme de cube ! J’ai été assez surpris par le style visuel, entièrement basé sur des cubes. Tout est cubique ! J’en ai compté au moins… 8000 (à peu près),Ça m’a beaucoup fait penser à un jeu vidéo, peut-être Roblox ? 樂Et si ça n’existe pas encore, il faut l’inventer tout de suite !Franchement, je ne comprends pas les critiques négatives… Vous avez juste trop la rage","5,0"
"Mis en contexte : je suis un joueur Minecraft depuis plus de 10 ans j'aime beaucoup le jeu.J'ai vue le film hier (Jeudi 3 avril) j'ai rapidement regarder les avis qui étais pas aussi horrible que ça, je me suis dit ""oh pourquoi pas aller le voir qu'elle erreur j'aurais vachement préféré le voir dans mon canapé c'est un film comparable a un téléfilm TF1, il manque de réel histoire certes le monde est bien fait les détail sont bien retranscrit les référence a des youtubeur Minecraft sont sympa.Mais c'est clairement un film qui manque d'histoire, on est facilement perdu, les acteur bien que bon dans d'autres film sont horriblement nul dans celui ci (Jason Momoa est juste horrible le rôle ne lui va pas du tout quand on connais sont historique de film), l'humour est trop présent et trop enfantin par moment j'ai vraiment eu l'impression de mettre trompe d'âge pour aller voir un film comme ça.Pour finir je pense que je ne suis pas la cible, il on voulu chercher des enfants mais en attirant les adultes qui joue au jeu et c'est raté, il convient parfaitement a la tranche d'âge 7-13 ans mais vraiment pas plus et encore a certain moment les blague un peu limite arrive.Attendre la VOD et ne gâcher pas votre argent et votre temps serait le mieux.","1,0"
"c est carrement naze, si il marche c est grace au fan du jeux, en vrai il aurrait flopper comme blanche neige","0,5"
"Lorsque j'ai vu les trailers je me suis dit ""ok, pourquoi pas"". Mais j'avais cette impression, une impression comme quoi le film ne serait pas vraiment terrible. Dans les trailers, j'ai bien aimé les effets qu'ils ont utilisé mais certains jeux d'acteur semblaient bizarre, notamment de la part de Jack Black (acteur que j'adore d'ailleurs). Bref j'ai décidé d'aller voir le film même si il me semblait nul...j'aurais pas dû.Tout d'abord il y a plusieurs choses qui sont bien dans le film, je vais pas faire l'aigri non plus. Les décors sont vraiment bien faits et l'association personnages du monde réel et le monde de Minecraft est réussi. Aussi étant un fan de Minecraft depuis longtemps j'ai bien aimé l'hommage à Technoblade qu'ils ont fait.Maintenant passons au négatif... déjà l'introduction est trop longue. Le film s'appelle Minecraft et on attend 45 min pour que nos héros se retrouvent dans le monde de Minecraft...45 min... c'est plus d'un tiers du film. Ensuite le développement des personnages est presque inexistant, presque tous ont des problèmes d'argent, je comprend pas l'intérêt. D'ailleurs on se dit qu'avec un film Minecraft on aura des méchants...de Minecraft...bah non. Le méchant est une sorcière cochon qui vient d'une autre dimension, le Nether. Pas de Wither, pas d'Ender Dragon comme dans le jeu. Il y a des outils qui n'existent pas dans le jeu...bref trop de libertés ont été prises je pense.Aussi juste le combat final,
spoiler: 
 la bataille de golems et juste mal faite, l'""animation"" est top bizarre.
Le plus gros point noir du film c'est vraiment le scénario,
spoiler: 
 un enfant aime la mine, il peut pas y aller car un vieux grincheux l'en empêche. Une fois adulte il a un travail où il vend des poignées de portes, quoi ??? Il mange son repas avec de la purée dedans et d'un coup, une illumination...il met les mains dans la purée et fait une sculpture avec, une mine... Et là il veut y retourner et il passe, trouve un cube bleu qui ressemble au tesseract et ouvre un portail vers ""la surface"" (Minecraft quoi)
. Ca c'est l'histoire de Steve, le perso principal. Je vais pas non plus expliquer tout le film mais le reste du film c'est : trouver un autre cube pour rentrer dans le monde réel 
spoiler: 
car un des héros a cassé l'autre cube
 et il y a la méchante sorcière qui veut le cube pour dominer le monde. Nos héros le trouve puis le perd à cause de la sorcière, faut le récupérer blablabla. Scénario très enfantin (après le film est de base enfantin) mais surtout trop facile quoi, aucune vraie intrigue. Ils essayent tant bien que mal à créer de la tension mais juste ça crée des espèces de quêtes secondaires qui ne servent à rien genre par exemple 
spoiler: 
Gareth qui a des problèmes d'argent demande à Steve de l'amener dans une mine de diamants pour en récupérer mais une fois là bas, un gros cochon débarquent et ils fuient. Cette scène n'a donc servie à rien, pour les personnages et pour l'intrigue.
 Il y a aussi des moments où le scénario est trop prévisible, 
spoiler: 
la ""mort"" de Gareth, ça se voit qu'il va revenir...ET IL REVIENT.
 Certains diront que c'est normal c'est pour les enfants, mais pour un film qui a eu le droit à des collabs, de nombreuses pubs partout et beaucoup de trailers et de teaser c'est limite, ça aurait dû être pour tout le monde, petits, grands et fans du jeu.Bref je pourrais encore continuer mais je vais en rester là, si vous vous demandez si le film vaut le détour...la réponse est non, l'un des pires films mais je monte la note pour le risque pris dans le design et l'hommage à Technoblade.","2,0"
"c'est tres sympa, je n'en attendais pas beaucoup vu les critiques mais j'ai été agréablemment surpris .","3,5"
"Très mauvaise adaptation, les acteurs jouent mal et le scénario est vraiment absent de ce filmRien ne va dans ce film","0,5"
Vu avec mes enfants qui ont apprécié (ils ont 6 et 10 ans). J’ai somnolé un quart d’heure. Jack Black et Jason Momoa essaient d’y croire sincèrement mais le peu d’enjeux rend difficilement digeste l’ensemble. Ce n’est pas le pire blockbuster du monde et a le mérite d’être bon enfant mais on est très loin des films des années 80 auquel le film voudrait ressembler (Les goonies ou SOS Fantômes).,"2,5"
"Le film est pas mal au niveau des effets spéciaux, même si la 3D ne le rend vraiment pas trop beau. Jack Black et Jason Momoa sauvent en tout cas le manque d'une histoire pas trop bien développée par leur duo génial et hyperactif. Mais si l'on doit être réalistes, c'est assez clair que le film n'est pas là pour impressionner mais pour nous faire passer un bon temps.","2,5"
Franchement c'est top pour les enfants pas d'armes à feu pas de sang franchement top pour les enfants   et sa représente bien le jeu,"5,0"
"Honnêtement je suis juste aller voir le film pour les blagues. Les effets spéciaux je sais pas comment dire, l'histoire m'a pas vraiment intéressé, mais pas si terrible que sa.","2,5"
"Je ne parviens pas à concevoir que ce film puisse être apprécié. En tant que grand fan comme beaucoup du jeu, je ne pouvais passer à côté du film malgré sa bande annonce qui ne prévoyait rien de bon... Ce film a réalisé l'exploit de me faire me demander ce que je faisais là dès les 5 premières minutes tant son scénario est catastrophique. Les blagues sont lourdes, les références au jeu abusées jusqu'à en être génantes, les personnages absolument pas attachants, et la goutte d'eau: les liberté prises sur l'univers avec des éléments qui n'y figurent absolument pas comme les bottes de célérité ou la capacité des endermans à hypnotiser la cible.Il n'y a pas de liberté à prendre. Une adaptation est faite pour être fidèle, les libertés prises font d'autant plus penser que le réalisateur ne connaît de Minecraft que le nom et a simplement voulu voguer sur le succès du jeu, ce qui explique par ailleurs pourquoi le scénario est des plus bâclés. Je ne peux que vous recommander de passer votre chemin, je n'ai sans aucun doute jamais autant regretté et été frustréé de voir un film que celui-ci, tant son potentiel était grand mais noyés par des producteurs avides de fric.","0,5"
"L'histoire est bête, mais, heureusement, pas importante. Les personnages sont plutôt agréables et amusants. Si votre enfant vous incite à voir ce film, vous ne passerez pas un très mauvais moment.","3,0"
"Nous avons passé un bon moment (28 ans) devant Minecraft, Le Film. L'animation est bien réalisée, et fidèle au jeu.Je pense que ce film est surtout à destination des joueurs, car les références sont introduites sans expliquer le contexte. Nous ne regrettons pas d'y être allés sans avoir vu les avis. Ce film ne marquera sûrement pas l'histoire, mais nous a rappelé qu'une dose de nostalgie ne fait jamais de mal ...","3,5"
"Ce film n’est pas à prendre au sérieux. Moi j’ai beaucoup aimé le film. Les références étaient tous bien placé 
spoiler: 
(dont un avec Technoblade, célèbre joueur aujourd’hui disparu)
 il
spoiler: 
 
faut prendre ce film au deuxième degré","5,0"
"Le film Minecraft est une véritable réussite qui capture parfaitement l'esprit du jeu. Voir l'univers prendre vie sur grand écran m'a instantanément rendu nostalgique de mes innombrables heures passées à miner, construire et explorer avec mes amis. C'est un voyage touchant et plein d'aventure qui ravivera la flamme de tous ceux qui ont un jour posé un bloc ! Un film fidèle et divertissant.","4,0"
"Très bon film familial les enfants ont adoré . On ne s'ennuie pas une seconde , les effets spéciaux sont cool , très bon casting Jason momoa et jack black sont excellents, le seul point faible est que le début et l'introduction au monde de Minecraft est pas assez exploiter et cela va trop vite .","4,5"
"Si je mets mes connaissances Infini du jeu de côté, je trouve que c'est un bon film, pour les enfants certe, mais bon quand même. Maintenant, si je vois ce film avec l'oeil du joueur que je suis, c'est un mauvais film, avec beaucoup de faux raccords, un vrai joueurs les remarqueras au premier coup d'œil. J'aimerais ajouter que j'ai adoré la référence à la légende de YouTube Technoblade malheureusement décédé à ce jour. Je tiens aussi à féliciter tous les gens qui ont travaillé dessus car cela n'a sans doute pas été facile, la 3D était incroyable, j'ai vraiment aimé.","2,5"
"Histoire classique du vu et revu. L’univers est vraiment bien, mais les blagues très lourdes tout au long du film et les « méchants » font que la crédibilité du récit en prend un coup","2,5"
"c est dommage que le film soit si mauvais, l histoire aurait pu être meilleur avec un autre scénario","2,5"
Minecraft est avant tout un film fun et décomplexé. Le but est avant tout de ne pas se prendre la tête et de passer un bon moment devant cette histoire complètement loufoque. c'est très loin d'être un chef d'œuvre mais c'est cool et c'est ce qu'on attend de ce film.,"3,5"
"Alors, je suis allé voir ce film pour mes deux enfants d'une dizaine d'années. Ils sont fan du jeu alors que moi je déteste.Et bien, j'ai trouvé que c'était une bonne surprise. Bien sûr que le scénario n'est pas digne d'un oscar. Mais on s'en fou un peu quand on va voir ce genre de film. On s'attend a du fan service et on en a. Les arteurs jouent le ridicule a fond et ça fontionne.Et puis au fond, mes gamins ont kiffé alors c'est le principal.","4,0"
"Film interressant, original, ça parle de Espace temps, avec des acteurs internationaux et qui jouent bien","4,0"
"Film enfantins , quelques mention du jeux mais le jeux des acteurs est mauvais , avec des décors  pas ouf","2,0"
"incroyable, très intéressant pour les connaisseurs et les joueurs du film. j'espère avoir une suite","5,0"
"Bon bah... pour une fois je suis rleativement d'accord avec la plèbe. Malgré l'immense respect que j'ai pour Jack Black... mais qu'est ce que tu fous là-dedans mec?? J'ai grandi avec le jeu que j'apprécie beaucoup, mais la CGI aie aie aie que ça fait mal. Une pléthore de blagues toutes aussi vaseuses les unes que les autres.Y'a quasiment rien à sauver, mais on s'y attendait, un film pour les innocents petits enfants, mais un calvaire sans nom pour les accompagnants.","1,0"
"J'attendais ce film depuis les rumeurs qui ont commencé en 2018. Je suis très déçu. Minecraft a été un jeu qui a accompagné des millions de jeunes enfants et adolescents dans le monde, on méritait mieux. J'aurais préféré un film d'animation avec une histoire moins linéaire. Voici le scénario que j'aurais apporté : ce serait celui d'un Steve éduqué par des villageois, se sentant très seul, qui décide d'entamer une survie très difficile dans le but de rejoindre un serveur légendaire (donc peut-être inexistant) avec plein de gens comme lui.Car au final, on a tous commencé en survie et ensuite on a fini dans des serveurs communautaire","1,0"
"Je trouve personnellement que le film n'est pas si mauvais que ça. Je suis d'accord sur le fait qu'il n'est pas parfait. Il manque beaucoup de détails comparer au jeu, tels que : l'aspect créatif et la sensation d'exploration et de liberté, le mention des autres biomes de la surface ou du nether ou même de l'ender ou d'autre details dans le genre. La 3D est passable, le film va un peu trop vite et ne présente aucune morale. J'admet aussi que le personnage de Dawn manque un petit peu d'utilité puisque on ne connais pas son background, elle est juste là pour être là. Je suis rester gêné par rapport aux scènes avec le villageois et la directrice qui m'a fait lâcher des rires nerveux du à leur relation. Le combat finale entre Steve et les autres contre Malgosha et son armée de Piglins n'est pas très impactant que je l'imaginais. C'est presque au même niveau que Avengers : Endgame même à petit budget (et pourtant le combat finale dans Avengers : Endgame était plus spéctaculaire). Et puis l'hommage à Technoblade m'a laissé indifférent. Enfin quoi qu'il en soit je vois que le film essai de toucher la communauté des gamer, mais pour le coup je pense sincèrement que le film touche plus un publique jeune plutôt qu'un publique adulte Perso j'ai trouver le film assez sympa, je vois qu'est-ce qu'il a voulu nous monter, mais il ne m'a pas tant impacter que ça. 
spoiler: 
Une chose est sûr, c'est que le film reste quand même un peu mieux que Blanche Neige.","3,0"
"Plusieurs moment drôle, l'univers est à moitié respecter, et pas asser exploiter, film goal: Fortnite, Roblox, Blox fruit et rock league 
spoiler: 
je rigole bien sûr","2,5"
"Coloré, rafraîchissant, j'ai fais un retour dans le passé, à l'époque où, gamine jusqu'à mon adolescence je jouais à Minecraft, et j'en ai eu des papillons dans le ventre.Très bien adapté, fidèle au jeu, on retrouve toutes nos références préférées, condensées dans une histoire reprise pour créer l'histoire de Steve, ce protagoniste si célèbre et si inconnu à la fois, avec des acteurs géniaux. Tout le scénario reste cohérent de A à Z. Dans la salle, le public riait, petits et grands, et le film à même eu le droit à une salve d'applaudissements lors du générique. Grandiose !Mon âme d'enfant a été comblé de bonheur et de nostalgie ❤️","5,0"
"Films pour la famille. Drôle certes, et très bête de l'autre côté. Pour les fannes du jeux vidéo ce ne sera pas le meilleur moment de leur vie. Mais qui soulève des références qui sont drôles et folles à la fois.","2,0"
"Je trouve les critiques un peu hard pour ce film.ce n'est pas un film qui prétend donner un éclairage sur notre société.C'est un divertissement et il fait le job, j'ai bien rit.Ok l'histoire est amenée en boitant et avec de gros fils mais c'est pour se concentrer sur l'aventure elle même. Pour le côté puriste minecraft, j'étais avec mon spécialiste maison, mon fils qui a trouvé des problèmes au niveau fonctionnement de certaine choses comme les explosions mais il s'est fendu la poire.Objectif atteint","3,5"
"Film assez banal, rien d’exceptionnel au niveau du scénario, mais ça se regarde de toute manière facile.","2,5"
"Passionné par le jeu vidéo j'ai trouvé le film extrêmement décevant. Ils arrivent à mettre dans le film pleins de choses qu'il n'y a pas dans le jeu. Le jeu d'acteur est drôle tellement qu'il est mauvais, les acteurs sont humiliés de par leurs tenues et leurs répliques. Les graphismes ne ressemble en rien à ceux du jeu original. En bref, ce film était décevant (il fallait s'y attendre au vu du trailer).","0,5"
"J'ai d'abord été averti des premiers retours des critiques à propos du film. Puis je suis allé le voir avec 3 ami(e)s. Nous avons passé un super bon moment. Aller voir ce film en mode premier degré, c'est ne pas avoir vu son trailer. Se plaindre de choses qui ne sont pas dans le jeu, par exemples sur les golems, c'est ne pas laisser l'esprit déjanté du film s'exprimer, et jouer au vieux sachant alors que les nouvelles générations ne connaîtront pas le Minecraft que nous avons connu en 2010. Je vous le recommande comme un film à voir en famille pour bien se marrer.","5,0"
"Le film est pas mal mais pas extraordinaire, des bon moment de plaisanterie. L’histoire est un peu tirée par la tête","2,5"
"C’est un bon film drôle avec de bons acteurs, mais j’ai été déçue par le manque de respect aux jeux initial.","3,0"
"Le film était presque parfait… entre les beaux décors, les chansons, les références, chacun a un moment s’est retrouvé à faire un mouvement, un bâtiment, un item qu’il avait déjà fait au paravent… c’était la nostalgie qui parlait, il retraçait notre enfance en commençant par une maison en dirt, puis par une ferme à creeper, une petite maison dans un village PNJ et en finissant par un combat de boss full diamant… Sans parler du nether qui est magnifiquement représenté avec de belles couleurs rouges accentués par les effets de braises représentant la chaleur…Au niveau des personnages, on y retrouves l’humour, le sérieux, l’action, et les effets de surprises ( on a tous était surpris lors de notre première ender pearl lancée ) un miroir reflétant notre histoire passée sur Minecraft… Le 0,5 que j’enlève à la note sur 5 est principalement due au fait qu’on ne voit pas tout dans le film, ce qui est normal, comment retracer un jeu qui cumule le plus d’heures jouées dans l’histoire des jeux vidéos en seulement 1h41 ?","4,5"
WAW QUELLE CLAQUE Je sors de la projection et qu'elle masterclass ce film. Les références au jeux sont super bien amener le chois des acteurs sont parfait et ne parlons pas du jeux d'acteur qui détrône tout simplement la plupart des grand acteurs comme di caprio ou encore de niro. Le visuel est dingue. Je pense honnêtement que ce film est le film a voir en 2025 et qu'il peut facilement surclassé la plupart des films de Tarantino ou Nolan !,"5,0"
"La première demie heure est plutôt sympathique, mais la suite tourne vite en rond. Heureusement que ce n'est pas trop long.","2,0"
"J'ai bien aimé le film personnellement, même si effectivement certains effets n'étaient pas incroyables et il y avait quelques défauts.. Au fait, la référence à Technoblade m'a fait sourire et je ne pense pas être la seule.  (la légende ne meurt jamais..)","3,5"
"Assez surpris, je m’attendais à une adaptation ratée mais au final le film reste assez drôle et divertissant c’est ce que je demandais pour un film comme celui ci","3,5"
"Les graphismes ""réalistes"" sont biens réussis. Mais j'ai bien peur que la prod ait oublié le scénario chez elle. Y'avait du potentiel mais il n'a pas été saisi.","1,5"
"C'était nul. Point. J'ai juste pas aimé (le seul truc cool c'était la référence à technoblade) sinon franchement on dirait vraiment du brainrot. J'avais mal à la tête a la fin de la séance a cause de toutes ces miserable ""chansons""... j’ai vraiment pris un doliprane quand je suis rentré chez moi a l’aide...","0,5"
"Au-delà d'être plutôt laid, c'est le vide absolu niveau scénario et caractérisation des personnages. En plus Jennifer Coolidge, l'un des seuls points positifs du film, a juste trois pauvres scènes d'une minute à peine.","1,0"
Mes filles on adorées ce film . Moi je l’ai trouvé bien . Pas trop long ni trop court . Cela fait une petite sortie en famille,"4,0"
"Je suis conscient que je ne suis pas le public cible et avant d’aller le voir je défendais le film pour ce point qui est essentiel à prendre en compte : ce n’est pas un film pour adulte.Cependant, je dois avouer que même pour un enfant ce n’est pas un film que je recommande à aller voir au cinéma. Si il sort sur Netflix, pourquoi pas, mais au cinéma et dépenser de l’argent pour la place du film, non merci. Je regrette un peu les 25€ que j’ai dépensé…","1,0"
"Ce film est une catastrophe.Les graphismes sont certes magnifique, mais aujourd'hui cela ne suffit plus. Steve passe vingt minutes du film à expliquer au public les mécaniques du jeu. Tout les gags, toutes les intrigues, toutes les situations sont prévisibles à des kilomètres. Les clichés et les gags lourdingues de tout le cinéma sont réunis dans cet horrible film. L'univers de Minecraft est, comme le dit Steve, "" infini, sans limite"", ce qui aurait dû donné un film digne des attentes de la communauté.","1,0"
Un scénario banal mais prenant pour les joueurs qui se feront un plaisir de retrouver des références tournées à la comédie,"3,5"
"J’y suis allé pour que vous n’ayez pas à y aller. C’est pas un bon film. L’histoire et le jeux des activeur sont vraiment éclatés c’est terrible. En point positif: c’est à peut près jolie, y a 2/3 blagues cool (parfois on rigole plus des personnages que avec…) et le message de fin est proute-proute mais cool. C’est pas une purge donc mais vraiment je recommande pas.","2,0"
"En tant que fan de Minecraft depuis bien des années, avoir un film basé sur ce jeu vidéo phénomène m'avait ravi. Je suis allé le voir avec plus de curiosité qu'autre chose, n'empêche. C'est vrai que je m'attendais à beaucoup plus que ce qui a été proposé, le film globalement est plutôt bien fait niveau 3D, mais sinon il est très enfantin et le scénario est poussif. 
spoiler: 
Toute une histoire pendant une heure pour juste un cube bleu c'est bien sympa 5 minutes, mais après c'est un petit peu long selon moi, même si il y avait 2-3 scènes un peu marrantes, mais sans plus. 

spoiler: 
J'aurais adoré voir l'Ender avec son dragon iconique, mais soit... La mention d'Alex et du youtubeur Technoblade était franchement bien malgré tout, mais sinon rien d'autre de bien intéressant à rajouter. 
 Beaucoup de trucs inventés qui n'existent pas dans le jeu original, c'est un peu perturbant mais bon... Si on fait abstraction de ça c'est quand-même un film qu'on peut regarder pour passer un bon moment sans se prendre la tête vu que c'est extrêmement enfantin, mais c'est vrai que quand tu es fan de Minecraft depuis des années et que tu es adulte, c'est vraiment limite et aurait pû être largement meilleur. Bref. En gros à aller voir pour faire son opinion, je le recommande surtout si on est fan, mais après faut juste garder en tête que c'est pas un film sérieux du tout.","3,0"
La vielle formule du film qui veut être drôle et qui essaye au maximum de divertir les spectateurs sans vraiment réussir. C'est un Jumanji version Minecraft.,"1,5"
"""Minecraft, le film"" est un film qu'il faut aller voir tranquille, je viens de sortir du cinéma et ça m'a plutôt plû. Le fait que ce métrage soit en live-action ne m'a pas dérangé mais au contraire, j'ai trouvé que cela changait par rapport au animation qu'on peut trouver sur internet par des fans. Fan que je suis d'ailleurs, du jeu cubique, ayant joué des dizaines et des dizaines d'heures à Minecraft. L'humour du film était tantôt fade, tantôt vraiment bien, notamment avec le duo Jack Black et Jason Momoa qui a pû me faire rire durant la projection. L'histoire, quant à elle, c'est fait complètement fondre par la lave de Steve, car aucune surprise ni saveur pour la narration ici. Selon moi, ""A Minecraft Movie"" n'était ni nul ni incroyable, mais cela fera probablement découvrir ce jeu, qu'est Minecraft, à un enfant qui à son tour pourra créer sa Surface.","3,0"
"En tant que parent, j'ai perdu au shifoumi et donc j'ai accompagné mon fils, fan du jeu, voir Minecraft. Et franchement je l'ai pas regretté car mon fils a passé un bon moment...et moi aussi. Alors pourquoi je crache pas sur ce film comme la plupart des autres commentateurs? Je vous explique pourquoi: Minecraft, c'est un film de divertissement avec 2 acteurs ""tronches"" pseudo-comiques dans un univers de jeu de briques connu, accompagné de 2 ados lambda, d'1 loup cubique et d'1 sidekick ethnique pour éviter les foudres des 'minorités'. Dans l'absolu, c'est un simple parcours de plateau hyper basique et totalement formaté dont l’intrigue secondaire est celle d'un ado rejeté qui devient le héros du jeu grâce à ses talents. L'intrigue principale? Ben y en a pas vraiment, ou plutôt c'est le film dans le jeu l'intrigue. Techniquement, l'univers cubique est plutôt bien réalisé. Des moutons roses aux méchants cochons en passant par les villages, les grottes et autres lieux craftés, Minecraft respire le dépaysement. Et vu l'actualité loin d'être joyeuse ces temps, s'évader dans monde coloré, s'aventurer l'épée à la main et se changer les idées, c'est pas ce que cherchent la plupart des gamers, non? Donc je pense que c'est pour ça que Minecraft a un tel succès populaire, en dépit des critiques de fond de cuvettes. Minecraft assume son rôle de simple divertissement sans prise de tête, ne s’apitoie pas sur telle ou telle injustice, ne lance aucun débats métaphysique sur la condition de l'être numérique. Les gags y sont à raz les paquerettes, avec des situations pathétiques, des résolutions WTF, c'est vrai! Mais y a aussi cette petite étincelle de génie qui brille en arrière-plan, cette lueur aux effluves d'irrévérence qu'on cache généralement à grand renfort de parfums neutralisants dans les films. Basiquement, dans Minecraft, les méchants sont marrants, les gentils sont niais et l'univers parcouru est plein de PNJ zombies ou villageois. Ah et on y mange du poulet! Y a aussi quelques allusions bien placées à des classiques comme Jumanji, la bataille du gouffre de Helm du Seigneur des Anneaux et Indiana Jones (grand moment de Momoa, c'est hilarant). Alors que mon fils s'agitait devant chaque action de Stève et de ses amis, et moi je me surprenais à rire des niaiseries de Momoa et de Black et à me demander quel est le fumet d'une cuisse de poulet cuit à la lave et sans aucun slogan culpabilisant. Ce film a réellement une touche des années 80, celle d'un temps ou les ZAZ (Zucker Abrams Zucker) et John Hugues régnaient en maître de l'humour potache. Voilà pourquoi ce film m'a plu: parce qu'au delà des simples péripéties de 2 acteurs qu'on soupçonne ingérables, j'ai sourit et mon fils a beaucoup ri et il est sorti de la séance heureux en me disant : ""10 sur 10"". Je suis loin d'être fan de Jack Black. Le rôle de sa vie c'est de surjouer en faisant croire qu'il est comique et on dirait qu'il n'est casté que pour ça d'ailleurs. Je ne l'ai vu qu'1 seule fois jouer un vrai rôle de composition à peu près honnête, c'est dans ""The Holiday"" avec Kate Winslet et Cameron Diaz. Quant à Jason Momoa, depuis la série North Shore, il a égaré son authenticité. Ca passe encore dans le 1er Aquaman (pas le second) mais depuis il semble se faire caster uniquement comme l'ingérable hawaïen de service. J'ajouterais que j'ai vu le film en 3D avec 4DX (sièges qui bougent et effets physiques)  et je ne le recommande pas car ce film, à l'exception d'une courte séquence de vol, n'a pas de scènes appropriées à ce genre d'effets physiques. Tout ce qu'ils ont trouvé est de nous balancer des chocs à fond lors de chaque combat. Et y a aussi des gouttes d'eau au visage quand le chien-loup Denis lèche le visage de Stève.","3,0"
